Geography,AgeGroup,Count,Percent
South Lanarkshire,Ages15to24,74140.0,10.501237939298482
South Lanarkshire,Ages25to44,187902.0,26.61456179215084
South Lanarkshire,Ages45to64,196192.0,27.78876279723291
South Lanarkshire,Ages5to14,75948.0,10.757324238114933
South Lanarkshire,Ages65to74,77700.0,11.005478660419369
South Lanarkshire,Ages75to84,46530.0,6.590539537571599
South Lanarkshire,Ages85plus,15674.0,2.2200755794519074
Stirling,Ages0to4,10804.0,3.8419413111815994
Stirling,Ages15to24,36654.0,13.034294411333796
Stirling,Ages25to44,71704.0,25.49820064577614
Stirling,Ages45to64,77050.0,27.39925749967996
Stirling,Ages5to14,28502.0,10.135413851471489
Stirling,Ages65to74,29452.0,10.4732372729471
Stirling,Ages75to84,20074.0,7.138386697580473
Stirling,Ages85plus,6972.0,2.4792683100294437
West Dunbartonshire,Ages0to4,8004.0,4.143843772326745
West Dunbartonshire,Ages15to24,20830.0,10.78414115161995
West Dunbartonshire,Ages25to44,52080.0,26.962941487103553
West Dunbartonshire,Ages45to64,53628.0,27.76437454052207
West Dunbartonshire,Ages5to14,19920.0,10.313014485850669
West Dunbartonshire,Ages65to74,22070.0,11.42611594893194
West Dunbartonshire,Ages75to84,12512.0,6.477732793522267
West Dunbartonshire,Ages85plus,4110.0,2.1278358201228036
West Lothian,Ages0to4,18978.0,4.5542463583787285
West Lothian,Ages15to24,46690.0,11.204434738787167
West Lothian,Ages25to44,116632.0,27.988769168006527
West Lothian,Ages45to64,114936.0,27.58177149576444
West Lothian,Ages5to14,49296.0,11.829809699791221
West Lothian,Ages65to74,39012.0,9.361906361738379
West Lothian,Ages75to84,24182.0,5.803076480046075
West Lothian,Ages85plus,6984.0,1.6759856974874612
